Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Atlético-MG,2003,1,1,3,1,0,0,3,0,3,1,0,1,1
Guarani,2003,1,2,3,1,0,0,4,2,2,1,0,1,-1
Criciúma,2003,1,3,3,1,0,0,2,0,2,1,0,1,1
Athletico-PR,2003,1,4,3,1,0,0,2,0,2,1,0,1,1
São Paulo,2003,1,5,1,0,0,1,2,2,0,0,0,1,-1
São Caetano,2003,1,6,1,0,0,1,2,2,0,0,0,1,-1
Coritiba,2003,1,7,1,0,0,1,1,1,0,0,0,1,-1
Ponte Preta,2003,1,8,1,0,0,1,1,1,0,0,0,1,-1
Paysandu,2003,1,9,1,0,0,1,2,2,0,0,0,1,-1
Bahia,2003,1,10,1,0,0,1,0,0,0,0,0,-1,1
Figueirense,2003,1,11,1,0,0,1,1,1,0,0,0,1,-1
Paraná,2003,1,12,1,0,0,1,2,2,0,0,0,1,-1
Flamengo,2003,1,13,1,0,0,1,1,1,0,0,0,1,-1
Internacional,2003,1,14,1,0,0,1,1,1,0,0,0,1,-1
Goiás,2003,1,15,1,0,0,1,2,2,0,0,0,1,-1
Fortaleza,2003,1,16,1,0,0,1,0,0,0,0,0,-1,1
Vitória,2003,1,17,1,0,0,1,1,1,0,0,0,1,-1
Santos,2003,1,18,1,0,0,1,2,2,0,0,0,1,-1
Cruzeiro,2003,1,19,1,0,0,1,2,2,0,0,0,1,-1
Juventude,2003,1,20,1,0,0,1,2,2,0,0,0,1,-1
Vasco,2003,1,21,0,0,1,0,2,4,-2,0,1,1,-1
Grêmio,2003,1,22,0,0,1,0,0,2,-2,0,1,-1,-1
Fluminense,2003,1,23,0,0,1,0,0,2,-2,0,1,-1,-1
Corinthians,2003,1,24,0,0,1,0,0,3,-3,0,1,-1,-1
Paraná,2003,2,1,4,1,0,1,5,2,3,1,0,2,1
Atlético-MG,2003,2,2,4,1,0,1,3,0,3,0,0,-1,1
Cruzeiro,2003,2,3,4,1,0,1,6,4,2,1,0,2,-2
Internacional,2003,2,4,4,1,0,1,2,1,1,1,0,2,0
Flamengo,2003,2,5,4,1,0,1,3,2,1,1,0,2,-2
Vitória,2003,2,6,4,1,0,1,3,2,1,1,0,2,-2
Ponte Preta,2003,2,7,4,1,0,1,2,1,1,1,0,2,1
São Caetano,2003,2,8,4,1,0,1,5,4,1,1,0,2,-2
Criciúma,2003,2,9,3,1,1,0,4,3,1,0,1,2,-1
Guarani,2003,2,10,3,1,1,0,5,5,0,0,1,2,-2
Vasco,2003,2,11,3,1,1,0,8,8,0,1,0,2,-2
Grêmio,2003,2,12,3,1,1,0,3,3,0,1,0,1,-2
Athletico-PR,2003,2,13,3,1,1,0,2,3,-1,0,1,-1,-1
Santos,2003,2,14,2,0,0,2,2,2,0,0,0,-1,0
Fortaleza,2003,2,15,2,0,0,2,1,1,0,0,0,1,-1
Figueirense,2003,2,16,2,0,0,2,4,4,0,0,0,2,-2
Juventude,2003,2,17,1,0,1,1,2,3,-1,0,1,-1,-2
Coritiba,2003,2,18,1,0,1,1,1,2,-1,0,1,-1,-2
Bahia,2003,2,19,1,0,1,1,1,2,-1,0,1,1,-1
Paysandu,2003,2,20,1,0,1,1,3,4,-1,0,1,2,-2
Goiás,2003,2,21,1,0,1,1,6,8,-2,0,1,2,-2
São Paulo,2003,2,22,1,0,1,1,4,6,-2,0,1,2,-2
Fluminense,2003,2,23,1,0,1,1,1,3,-2,0,0,1,-2
Corinthians,2003,2,24,1,0,1,1,3,6,-3,0,0,1,-2
Cruzeiro,2003,3,1,7,2,0,1,9,4,5,2,0,3,1
Flamengo,2003,3,2,7,2,0,1,7,3,4,2,0,3,-3
Atlético-MG,2003,3,3,7,2,0,1,5,1,4,1,0,1,-1
Internacional,2003,3,4,7,2,0,1,4,1,3,2,0,3,1
Vitória,2003,3,5,7,2,0,1,5,3,2,2,0,3,-3
Guarani,2003,3,6,6,2,1,0,7,5,2,1,0,3,1
Santos,2003,3,7,5,1,0,2,4,2,2,1,0,1,1
São Caetano,2003,3,8,5,1,0,2,6,5,1,0,0,3,-3
Corinthians,2003,3,9,4,1,1,1,9,7,2,1,0,2,-3
Paraná,2003,3,10,4,1,1,1,5,4,1,0,1,-1,-1
Criciúma,2003,3,11,4,1,1,1,5,4,1,0,0,3,-2
Grêmio,2003,3,12,4,1,1,1,4,4,0,0,0,2,-3
Juventude,2003,3,13,4,1,1,1,4,4,0,1,0,1,-3
Ponte Preta,2003,3,14,4,1,1,1,2,4,-2,0,1,-1,-1
Vasco,2003,3,15,3,1,2,0,9,10,-1,0,1,3,-3
Athletico-PR,2003,3,16,3,1,2,0,3,5,-2,0,2,1,-2
Fortaleza,2003,3,17,3,0,0,3,2,2,0,0,0,2,-2
São Paulo,2003,3,18,2,0,1,2,5,7,-2,0,0,3,-3
Goiás,2003,3,19,2,0,1,2,7,9,-2,0,0,3,-3
Figueirense,2003,3,20,2,0,1,2,4,6,-2,0,1,-1,-3
Coritiba,2003,3,21,1,0,2,1,2,4,-2,0,2,1,-3
Bahia,2003,3,22,1,0,2,1,1,4,-3,0,2,-1,-2
Fluminense,2003,3,23,1,0,2,1,2,7,-5,0,1,2,-3
Paysandu,2003,3,24,1,0,2,1,4,10,-6,0,2,3,-3
Cruzeiro,2003,4,1,10,3,0,1,13,7,6,3,0,4,-1
Atlético-MG,2003,4,2,10,3,0,1,8,3,5,2,0,2,-2
Flamengo,2003,4,3,8,2,0,2,8,4,4,0,0,4,-4
Paraná,2003,4,4,7,2,1,1,8,5,3,1,0,1,-2
Internacional,2003,4,5,7,2,1,1,5,4,1,0,1,4,-1
Vitória,2003,4,6,7,2,1,1,6,5,1,0,1,4,-4
Grêmio,2003,4,7,7,2,1,1,6,5,1,1,0,3,-4
Guarani,2003,4,8,6,2,2,0,9,8,1,0,1,4,-1
São Caetano,2003,4,9,6,1,0,3,7,6,1,0,0,4,-4
Corinthians,2003,4,10,5,1,1,2,11,9,2,0,0,3,-4
Criciúma,2003,4,11,5,1,1,2,6,5,1,0,0,4,-3
Santos,2003,4,12,5,1,1,2,5,4,1,0,1,2,-1
São Paulo,2003,4,13,5,1,1,2,8,8,0,1,0,4,-4
Ponte Preta,2003,4,14,5,1,1,2,3,5,-2,0,0,1,-2
Vasco,2003,4,15,4,1,2,1,11,12,-1,0,0,4,-4
Bahia,2003,4,16,4,1,2,1,4,5,-1,1,0,1,-3
Athletico-PR,2003,4,17,4,1,2,1,4,6,-2,0,0,2,-3
Juventude,2003,4,18,4,1,2,1,5,7,-2,0,1,2,-4
Fluminense,2003,4,19,4,1,2,1,5,8,-3,1,0,3,-4
Paysandu,2003,4,20,4,1,2,1,6,11,-5,1,0,4,-4
Fortaleza,2003,4,21,3,0,1,3,3,5,-2,0,1,3,-3
Figueirense,2003,4,22,3,0,1,3,5,7,-2,0,0,1,-4
Goiás,2003,4,23,2,0,2,2,8,12,-4,0,1,4,-4
Coritiba,2003,4,24,1,0,3,1,5,8,-3,0,3,2,-4
Cruzeiro,2003,5,1,13,4,0,1,17,8,9,4,0,5,-2
Atlético-MG,2003,5,2,13,4,0,1,12,5,7,3,0,3,-3
Internacional,2003,5,3,10,3,1,1,7,5,2,1,0,5,-2
Santos,2003,5,4,8,2,1,2,7,4,3,1,0,3,0
Paraná,2003,5,5,8,2,1,2,8,5,3,0,0,-1,-1
São Paulo,2003,5,6,8,2,1,2,11,9,2,2,0,5,-5
Flamengo,2003,5,7,8,2,1,2,8,6,2,0,1,-1,-5
Criciúma,2003,5,8,8,2,1,2,7,5,2,1,0,5,1
Vitória,2003,5,9,8,2,1,2,7,6,1,0,0,5,-5
Grêmio,2003,5,10,8,2,1,2,7,6,1,0,0,4,-5
São Caetano,2003,5,11,7,1,0,4,8,7,1,0,0,5,-5
Guarani,2003,5,12,6,2,3,0,9,9,0,0,2,-1,-2
Fortaleza,2003,5,13,6,1,1,3,4,5,-1,1,0,4,1
Ponte Preta,2003,5,14,6,1,1,3,7,9,-2,0,0,2,-3
Corinthians,2003,5,15,5,1,2,2,12,11,1,0,1,4,-5
Juventude,2003,5,16,5,1,2,2,6,8,-2,0,0,3,-5
Fluminense,2003,5,17,5,1,2,2,5,8,-3,0,0,-1,1
Paysandu,2003,5,18,5,1,2,2,10,15,-5,0,0,5,-5
Coritiba,2003,5,19,4,1,3,1,6,8,-2,1,0,3,1
Athletico-PR,2003,5,20,4,1,3,1,4,7,-3,0,1,-1,-4
Vasco,2003,5,21,4,1,3,1,12,15,-3,0,1,5,-5
Bahia,2003,5,22,4,1,3,1,6,9,-3,0,1,2,-4
