Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2003,1,Guarani,Vasco,4,2
2003,1,Athletico-PR,Grêmio,2,0
2003,1,Juventude,São Paulo,2,2
2003,1,Cruzeiro,São Caetano,2,2
2003,1,Flamengo,Coritiba,1,1
2003,1,Criciúma,Fluminense,2,0
2003,1,Internacional,Ponte Preta,1,1
2003,1,Goiás,Paysandu,2,2
2003,1,Fortaleza,Bahia,0,0
2003,1,Vitória,Figueirense,1,1
2003,1,Corinthians,Atlético-MG,0,3
2003,1,Santos,Paraná,2,2
2003,2,Atlético-MG,Santos,0,0
2003,2,Coritiba,Internacional,0,1
2003,2,Fluminense,Fortaleza,1,1
2003,2,Grêmio,Guarani,3,1
2003,2,Bahia,Flamengo,1,2
2003,2,Figueirense,Corinthians,3,3
2003,2,Paysandu,Vitória,1,2
2003,2,Ponte Preta,Juventude,1,0
2003,2,São Caetano,Criciúma,3,2
2003,2,Paraná,Athletico-PR,3,0
2003,2,Vasco,Goiás,6,4
2003,2,São Paulo,Cruzeiro,2,4
2003,3,Internacional,Bahia,2,0
2003,3,Athletico-PR,Atlético-MG,1,2
2003,3,Santos,Figueirense,2,0
2003,3,Corinthians,Paysandu,6,1
2003,3,Vitória,Vasco,2,1
2003,3,Criciúma,São Paulo,1,1
2003,3,Fortaleza,São Caetano,1,1
2003,3,Juventude,Coritiba,2,1
2003,3,Guarani,Paraná,2,0
2003,3,Goiás,Grêmio,1,1
2003,3,Cruzeiro,Ponte Preta,3,0
2003,3,Flamengo,Fluminense,4,1
2003,4,Paysandu,Santos,2,1
2003,4,Bahia,Juventude,3,1
2003,4,Grêmio,Vitória,2,1
2003,4,Atlético-MG,Guarani,3,2
2003,4,Figueirense,Athletico-PR,1,1
2003,4,Ponte Preta,Criciúma,1,1
2003,4,Coritiba,Cruzeiro,3,4
2003,4,São Caetano,Flamengo,1,1
2003,4,Vasco,Corinthians,2,2
2003,4,Fluminense,Internacional,3,1
2003,4,Paraná,Goiás,3,1
2003,4,São Paulo,Fortaleza,3,1
2003,5,São Caetano,Grêmio,1,1
2003,5,Bahia,Atlético-MG,2,4
2003,5,Flamengo,Santos,0,2
2003,5,São Paulo,Vasco,3,1
2003,5,Internacional,Corinthians,2,1
2003,5,Ponte Preta,Paysandu,4,4
2003,5,Fortaleza,Athletico-PR,1,0
2003,5,Juventude,Vitória,1,1
2003,5,Criciúma,Guarani,1,0
2003,5,Fluminense,Paraná,0,0
2003,5,Cruzeiro,Goiás,4,1
2003,5,Coritiba,Figueirense,1,0
2003,6,Paraná,Bahia,3,1
2003,6,Atlético-MG,Coritiba,1,2
2003,6,Vitória,Internacional,0,3
2003,6,Guarani,Cruzeiro,1,1
2003,6,Grêmio,Fluminense,0,1
2003,6,Corinthians,Flamengo,1,1
2003,6,Goiás,Juventude,7,0
2003,6,Santos,Fortaleza,4,0
2003,6,Athletico-PR,Criciúma,5,2
2003,6,Figueirense,Ponte Preta,0,0
2003,6,Vasco,São Caetano,1,0
2003,6,Paysandu,São Paulo,5,2
2003,7,Bahia,Grêmio,2,1
2003,7,Flamengo,Vitória,2,1
2003,7,Cruzeiro,Athletico-PR,5,2
2003,7,Fortaleza,Corinthians,1,2
2003,7,São Paulo,Figueirense,3,2
2003,7,São Caetano,Paysandu,2,0
2003,7,Internacional,Goiás,2,1
2003,7,Ponte Preta,Atlético-MG,2,1
2003,7,Juventude,Guarani,1,1
2003,7,Coritiba,Paraná,2,1
2003,7,Fluminense,Vasco,0,0
2003,7,Criciúma,Santos,1,3
2003,8,Goiás,Flamengo,1,1
2003,8,Santos,Cruzeiro,0,2
2003,8,Paraná,Ponte Preta,3,2
2003,8,Corinthians,Criciúma,3,0
2003,8,Vasco,Bahia,1,1
2003,8,Paysandu,Fluminense,2,2
2003,8,Atlético-MG,São Paulo,2,2
2003,8,Vitória,Fortaleza,2,1
2003,8,Guarani,Internacional,3,0
2003,8,Athletico-PR,Juventude,2,0
2003,8,Figueirense,São Caetano,3,0
2003,8,Grêmio,Coritiba,1,0
2003,9,Fluminense,Figueirense,3,0
2003,9,São Caetano,Atlético-MG,2,0
2003,9,Juventude,Santos,1,1
2003,9,Bahia,Paysandu,2,0
2003,9,Coritiba,Vasco,1,1
2003,9,Fortaleza,Goiás,1,0
2003,9,Cruzeiro,Corinthians,1,1
2003,9,Ponte Preta,Grêmio,2,1
2003,9,Criciúma,Vitória,1,1
2003,9,Internacional,Athletico-PR,1,1
2003,9,São Paulo,Paraná,2,0
2003,9,Flamengo,Guarani,1,1
2003,10,Paraná,São Caetano,1,1
2003,10,Atlético-MG,Fluminense,3,0
2003,10,Corinthians,Juventude,3,0
2003,10,Vasco,Ponte Preta,1,0
2003,10,Athletico-PR,Flamengo,4,1
2003,10,Paysandu,Coritiba,1,3
2003,10,Goiás,Criciúma,0,2
2003,10,Grêmio,São Paulo,1,2
2003,10,Guarani,Fortaleza,2,1
2003,10,Figueirense,Bahia,1,0
2003,10,Vitória,Cruzeiro,2,1
2003,10,Santos,Internacional,2,1
2003,11,Fluminense,Athletico-PR,2,1
2003,11,Cruzeiro,Criciúma,2,0
2003,11,Coritiba,Guarani,3,2
2003,11,Ponte Preta,São Caetano,0,0
2003,11,Internacional,Paysandu,2,1
2003,11,Paraná,Flamengo,6,2
2003,11,Bahia,Goiás,2,1
2003,11,Santos,São Paulo,3,2
2003,11,Fortaleza,Juventude,3,1
2003,11,Figueirense,Grêmio,2,1
2003,11,Corinthians,Vitória,4,0
2003,11,Vasco,Atlético-MG,2,2
2003,12,Vitória,Fluminense,2,1
2003,12,Guarani,Santos,1,2
2003,12,Grêmio,Fortaleza,3,1
2003,12,Atlético-MG,Figueirense,1,1
2003,12,Juventude,Vasco,0,0
2003,12,Goiás,Coritiba,1,2
2003,12,São Caetano,Corinthians,1,0
2003,12,Paysandu,Paraná,3,0
2003,12,Athletico-PR,Ponte Preta,4,2
2003,12,Criciúma,Internacional,1,0
2003,12,São Paulo,Bahia,2,2
2003,12,Flamengo,Cruzeiro,3,0
2003,13,Fluminense,Goiás,2,3
2003,13,Ponte Preta,Guarani,0,2
2003,13,Coritiba,Athletico-PR,2,0
2003,13,Corinthians,São Paulo,1,2
2003,13,Fortaleza,Paysandu,1,2
2003,13,Paraná,Juventude,1,2
2003,13,Grêmio,Internacional,0,0
2003,13,Santos,São Caetano,0,1
2003,13,Criciúma,Figueirense,1,0
2003,13,Bahia,Vitória,2,1
2003,13,Cruzeiro,Atlético-MG,0,0
2003,13,Vasco,Flamengo,1,2
2003,14,Bahia,Coritiba,2,2
2003,14,Vasco,Criciúma,2,0
2003,14,Atlético-MG,Grêmio,3,2
2003,14,Internacional,Paraná,2,1
2003,14,São Paulo,Goiás,1,0
2003,14,Paysandu,Flamengo,2,2
2003,14,Ponte Preta,Corinthians,3,3
2003,14,Figueirense,Fortaleza,2,2
2003,14,São Caetano,Vitória,2,1
2003,14,Juventude,Cruzeiro,0,1
2003,14,Fluminense,Guarani,5,2
2003,14,Athletico-PR,Santos,0,2
2003,15,Fortaleza,Vasco,0,1
2003,15,Coritiba,São Caetano,2,0
2003,15,Grêmio,Juventude,1,4
2003,15,Santos,Bahia,4,0
2003,15,Flamengo,Figueirense,0,2
2003,15,Corinthians,Fluminense,1,0
2003,15,Guarani,São Paulo,0,1
2003,15,Criciúma,Paysandu,2,0
2003,15,Vitória,Athletico-PR,1,0
2003,15,Paraná,Atlético-MG,1,1
2003,15,Cruzeiro,Internacional,3,2
2003,15,Goiás,Ponte Preta,0,0
2003,16,Vasco,Paraná,1,4
2003,16,São Paulo,São Caetano,1,1
2003,16,Figueirense,Cruzeiro,1,0
2003,16,Atlético-MG,Paysandu,3,2
2003,16,Grêmio,Flamengo,2,0
2003,16,Juventude,Internacional,1,1
2003,16,Guarani,Goiás,3,2
2003,16,Athletico-PR,Corinthians,3,1
2003,16,Fortaleza,Criciúma,0,1
2003,16,Vitória,Ponte Preta,1,4
2003,16,Santos,Coritiba,3,1
2003,16,Fluminense,Bahia,1,0
2003,17,Corinthians,Santos,1,1
2003,17,São Caetano,Athletico-PR,0,0
2003,17,Cruzeiro,Fortaleza,2,0
2003,17,Bahia,Guarani,2,0
2003,17,Flamengo,Juventude,2,1
2003,17,Goiás,Vitória,1,1
2003,17,Paysandu,Figueirense,1,0
2003,17,Internacional,Vasco,2,1
2003,17,Coritiba,São Paulo,0,2
2003,17,Paraná,Grêmio,3,1
2003,17,Ponte Preta,Fluminense,3,0
2003,17,Criciúma,Atlético-MG,1,0
2003,18,Athletico-PR,Goiás,0,0
2003,18,Fortaleza,Internacional,3,0
2003,18,Vasco,Paysandu,0,2
2003,18,Atlético-MG,Flamengo,1,0
2003,18,Ponte Preta,Bahia,1,0
2003,18,Corinthians,Coritiba,0,1
2003,18,Criciúma,Juventude,3,0
2003,18,Figueirense,Paraná,4,2
2003,18,São Caetano,Guarani,0,2
2003,18,Fluminense,São Paulo,1,3
2003,18,Vitória,Santos,2,0
2003,18,Grêmio,Cruzeiro,0,1
2003,19,Flamengo,Fortaleza,0,2
2003,19,Bahia,São Caetano,0,0
2003,19,Guarani,Vitória,2,2
2003,19,Internacional,Atlético-MG,3,3
2003,19,Juventude,Figueirense,1,2
2003,19,Coritiba,Fluminense,3,0
2003,19,Santos,Ponte Preta,2,1
2003,19,Cruzeiro,Vasco,4,1
2003,19,Goiás,Corinthians,1,1
2003,19,Paysandu,Grêmio,1,1
2003,19,São Paulo,Athletico-PR,2,0
2003,19,Paraná,Criciúma,2,1
2003,20,Corinthians,Guarani,1,0
2003,20,Fluminense,Santos,1,4
2003,20,Fortaleza,Atlético-MG,4,3
2003,20,Internacional,Figueirense,3,0
2003,20,Athletico-PR,Bahia,2,1
2003,20,Ponte Preta,Coritiba,1,1
2003,20,Juventude,Paysandu,2,0
2003,20,Criciúma,Flamengo,4,3
2003,20,Goiás,São Caetano,2,1
2003,20,Vitória,São Paulo,0,2
2003,20,Cruzeiro,Paraná,5,1
2003,20,Vasco,Grêmio,2,0
2003,21,Atlético-MG,Juventude,2,1
2003,21,Guarani,Athletico-PR,1,0
2003,21,Paraná,Fortaleza,4,1
2003,21,Paysandu,Cruzeiro,3,0
2003,21,Figueirense,Vasco,0,0
2003,21,Santos,Goiás,3,3
2003,21,Bahia,Corinthians,0,0
2003,21,Coritiba,Vitória,1,1
2003,21,Flamengo,Internacional,2,1
2003,21,Grêmio,Criciúma,0,2
2003,21,São Caetano,Fluminense,2,0
2003,21,São Paulo,Ponte Preta,1,2
2003,22,Santos,Vasco,2,1
2003,22,Goiás,Atlético-MG,1,1
2003,22,Athletico-PR,Paysandu,1,1
2003,22,Fortaleza,Ponte Preta,2,3
2003,22,Vitória,Paraná,0,3
2003,22,Criciúma,Coritiba,2,3
2003,22,Guarani,Figueirense,3,0
2003,22,Flamengo,São Paulo,1,1
2003,22,Juventude,Fluminense,2,1
2003,22,Corinthians,Grêmio,1,0
2003,22,Cruzeiro,Bahia,5,2
2003,22,Internacional,São Caetano,0,0
2003,23,Fluminense,Cruzeiro,2,2
2003,23,Grêmio,Santos,2,0
2003,23,São Caetano,Juventude,1,1
2003,23,São Paulo,Internacional,0,2
2003,23,Figueirense,Goiás,0,1
2003,23,Paraná,Corinthians,1,1
2003,23,Paysandu,Guarani,6,1
2003,23,Coritiba,Fortaleza,1,1
2003,23,Bahia,Criciúma,2,2
2003,23,Ponte Preta,Flamengo,1,1
2003,23,Vasco,Athletico-PR,2,1
2003,23,Atlético-MG,Vitória,1,0
2003,24,Vitória,Paysandu,1,1
2003,24,Athletico-PR,Paraná,1,0
2003,24,Criciúma,São Caetano,0,1
2003,24,Fortaleza,Fluminense,3,1
2003,24,Juventude,Ponte Preta,0,0
2003,24,Goiás,Vasco,3,1
2003,24,Cruzeiro,São Paulo,1,1
2003,24,Santos,Atlético-MG,3,3
2003,24,Internacional,Coritiba,1,0
2003,24,Flamengo,Bahia,6,0
2003,24,Corinthians,Figueirense,0,1
2003,24,Guarani,Grêmio,2,0
